P|SA|Name|CLAT|CLON|SLAT|ELAT|SLON|ELON|DIR|DIAM|CT|ET|QUAD|MAP|AS|AD|REF|FT|Origin
"V"|"V"|"Elma"|-10.1|91.1|0.0|0.0|0.0|0.0|"E"|10.2|"EU"|"FI"|"V-35"|"I-2476"|5|1997|107|"AA"|"Finnish first name."
"E"|"m"|"Elmer"|-10.1|84.1|||||"E"|16.0|"NA"|"AM"|"LTO81C1"|"LTO-81C1"|5|1976|0|"AA"|"Charles Wesley; American astronomer (1872-1954)."
"S"|"te"|"Elpenor"|53.43|263.69|50.57|56.08|258.49|269.24|"W"|60.0|"EU"|"GR"|"PRELIM"|"I-1487"|5|1982|28|"AA"|"Follower of Odysseus."
"U"|"mr"|"Elsinore Corona"|-24.8|257.1|||||"E"|323.0|"EU"|"DE"|"MIRAND"|"Unknown"|5|1988|85|"CR"|"Location of Hamlet\'s castle."
"E"|"m"|"Elvey"|8.8|-100.5|||||"E"|74.0|"NA"|"AM"|"LOC-1"|"LOC-1"|5|1970|68|"AA"|"Christian Thomas; American astronomer, geophysicist (1899-1970)."
"M"|"M"|"Ely"|-23.9|27.4|-23.9|-23.8|27.3|27.5|"W"|10.3|"US"|"NV"|"MC-19"|"I-2531"|5|1976|36|"AA"|"Town in Nevada, USA."
"M"|"ME"|"Ely"|-23.66|332.6|-23.66|-23.56|332.7|332.5|"E"|10.3|"US"|"NV"|"MC-19"|"I-2531"|5|1976|36|"AA"|"Town in Nevada, USA."
"M"|"M"|"Elysium"|25.0|210.0|25.0|25.0|210.0|210.0|"W"|0.0|"EU"|"GR"|"MC-15"|"Unknown"|5|1958|60|"AL"|"Home of the blessed on western edge of world."
"M"|"ME"|"Elysium"|24.75|150.0|24.75|24.75|150.0|150.0|"E"|0.0|"EU"|"GR"|"MC-15"|"Unknown"|5|1958|60|"AL"|"Home of the blessed on western edge of world."
"M"|"M"|"Elysium Catena"|17.8|210.4|17.6|18.1|210.0|210.7|"W"|47.7|"EU"|"GR"|"MC-15"|"I-2486"|5|1985|57|"CA"|"Albedo feature name."
"M"|"ME"|"Elysium Catena"|17.61|149.6|17.41|17.91|150.0|149.3|"E"|47.7|"EU"|"GR"|"MC-15"|"I-2486"|5|1985|57|"CA"|"Albedo feature name."
"M"|"M"|"Elysium Chasma"|22.5|218.5|21.6|23.5|217.7|219.1|"W"|129.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1985|57|"CM"|"Albedo feature name."
"M"|"ME"|"Elysium Chasma"|22.27|141.5|21.38|23.26|142.3|140.9|"E"|129.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1985|57|"CM"|"Albedo feature name."
"M"|"M"|"Elysium Fossae"|24.8|213.7|16.4|29.0|202.0|224.0|"W"|1,175.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1973|57|"FO"|"Classical albedo feature name."
"M"|"ME"|"Elysium Fossae"|24.55|146.3|16.22|28.73|158.0|136.0|"E"|1,175.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1973|57|"FO"|"Classical albedo feature name."
"M"|"M"|"Elysium Mons"|25.0|213.1|22.0|28.5|209.0|216.0|"W"|410.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1973|57|"MO"|"Classical albedo feature name."
"M"|"ME"|"Elysium Mons"|24.75|146.9|21.78|28.23|151.0|144.0|"E"|410.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1973|57|"MO"|"Classical albedo feature name."
"M"|"M"|"Elysium Planitia"|2.0|205.0|-5.0|10.0|180.0|230.0|"W"|3,000.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1973|57|"PL"|"Classical albedo feature name."
"M"|"ME"|"Elysium Planitia"|1.98|155.0|-4.94|9.89|180.0|130.0|"E"|3,000.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1973|57|"PL"|"Classical albedo feature name."
"M"|"M"|"Elysium Rupes"|25.4|212.0|24.3|26.3|211.9|212.7|"W"|130.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1985|57|"RU"|"Albedo feature name."
"M"|"ME"|"Elysium Rupes"|25.15|148.0|24.06|26.04|148.1|147.3|"E"|130.0|"EU"|"GR"|"MC-15"|"I-2486"|5|1985|57|"RU"|"Albedo feature name."
"V"|"V"|"Elza"|-34.4|275.9|0.0|0.0|0.0|0.0|"E"|18.0|"EU"|"LV"|"V-53"|"I-2477"|5|1994|112|"AA"|"Latvian first name."
"J"|"io"|"Emakong Patera"|-3.33|119.82|-4.7|-2.24|120.98|118.53|"W"|80.08|"OC"|"NB"|"JI-03"|"Unknown"|5|1979|1|"PE"|"Sulca (New Britain) man who brought fire."
"V"|"V"|"Embla Coronae"|28.9|205.4|28.4|29.5|204.8|206.1|"E"|132.0|"EU"|"SD"|"V-14"|"Unknown"|5|2006|127|"CR"|"Scandinavian Earth goddess, creator of life."
"E"|"m"|"Emden"|63.3|-177.3|||||"E"|111.0|"EU"|"SZ"|"LMP-3"|"LMP-3"|5|1970|75|"AA"|"Robert; Swiss astrophysicist, meteorologist (1862-1940)."
"V"|"V"|"Emegelji Coronae"|-21.5|213.5|-22.5|-20.7|212.8|214.5|"E"|225.0|"AS"|"MO"|"V-39"|"I-2477"|5|2003|65|"CR"|"Mongolian childcare goddess."
"V"|"V"|"Emegen Corona"|37.5|290.5|0.0|0.0|0.0|0.0|"E"|180.0|"UR"|"TV"|"V-17"|"I-2457"|5|1997|107|"CR"|"Tuva (S. Siberia) childcare goddess."
"V"|"V"|"Emilia"|-26.5|88.2|0.0|0.0|0.0|0.0|"E"|12.5|"EU"|"SW"|"V-46"|"I-2476"|5|1997|107|"AA"|"Swedish first name."
"V"|"V"|"Emma"|-13.7|302.3|0.0|0.0|0.0|0.0|"E"|11.8|"EU"|"GE"|"V-42"|"I-2475"|5|1997|107|"AA"|"German first name."
"E"|"m"|"Emory"|20.1|30.8|||||"E"|1.0|"NA"|"AM"|"S-01"|"43 D1"|5|1973|60|"LF"|"Astronaut-named feature, Apollo 17 site."
"J"|"ga"|"En-zu"|11.6|168.4|0.0|0.0|0.0|0.0|"W"|5.0|"AS"|"BY"|"JG-08"|"I-1536"|5|1997|83|"AA"|"Babylonian moon god."
"E"|"m"|"Encke"|4.6|-36.6|||||"E"|28.0|"EU"|"GE"|"LAC 57"|"LAC 57"|5|1935|68|"AA"|"Johann Franz; German mathematician, astronomer (1791-1865)."
"E"|"m"|"End"|-8.9|15.6|||||"E"|0.0|"NA"|"AM"|"S-01"|"78 D2"|5|1973|60|"LF"|"Astronaut-named feature, Apollo 16 site."
"H"|"H"|"Endeavour Rupes"|37.5|31.3|||||"W"|0.0|"EU"|"EN"|"H-02"|"I-1057"|5|1976|59|"RU"|"English; Cook\'s ship to explore Tahiti, New Zealand, Australia, 1768-71."
"E"|"m"|"Endymion"|53.9|57.0|||||"E"|123.0|"EU"|"GR"|"LMP-3"|"LMP-3"|5|1935|66|"AA"|"Greek mythological character."
"V"|"V"|"Enekeler Corona"|-46.0|264.0|0.0|0.0|0.0|0.0|"E"|350.0|"UR"|"AL"|"V-52"|"I-2477"|5|1997|107|"CR"|"Altay childbirth goddess."
"E"|"m"|"Engel\'gardt (Engelhardt)"|5.7|-159.0|||||"E"|43.0|"UR"|"SO"|"LOC-4"|"LOC-4"|5|1970|0|"AA"|"Vasilij Pavlovich; Russian astronomer (1828-1915)."
"V"|"V"|"Enid"|16.4|352.1|0.0|0.0|0.0|0.0|"E"|9.2|"EU"|"CE"|"V-31"|"Unknown"|5|1997|109|"AA"|"Celtic first name."
"M"|"M"|"Enipeus Vallis"|37.0|93.1|33.9|40.0|92.8|93.7|"W"|357.0|"EU"|"GR"|"MTM 35092"|"I-2192"|5|1991|56|"VA"|"Classical river."
"M"|"ME"|"Enipeus Vallis"|36.69|266.9|33.6|39.68|267.2|266.3|"E"|357.0|"EU"|"GR"|"MTM 35092"|"I-2192"|5|1991|56|"VA"|"Classical river."
"J"|"ga"|"Enki Catena"|38.8|13.6|38.0|39.6|11.5|15.6|"W"|161.3|"AS"|"AB"|"GLOBAL"|"I-2762"|5|1997|1|"CA"|"Principal water god of the Apsu."
"J"|"ga"|"Enkidu"|-26.6|325.2|-27.9|-25.4|323.7|326.7|"W"|121.1|"AS"|"AB"|"GLOBAL"|"I-2762"|5|1982|1|"AA"|"Friend of Gilgamesh."
"J"|"ga"|"Enlil"|55.3|312.2|55.0|55.7|311.5|312.8|"W"|34.4|"AS"|"AB"|"GLOBAL"|"I-2762"|5|1979|1|"AA"|"Assyro-Babylonian; nature god of the air, hurricanes, and nature."
"A"|"ma"|"Enugu"|-15.3|151.6|||||"W"|5.9|"AF"|"NI"|"Unknown"|"Unknown"|5|2000|150|"AA"|"Nigerian coal field."
"V"|"V"|"Enyo Fossae"|-62.0|351.0|-61.0|-61.0|345.0|357.0|"E"|700.0|"EU"|"GR"|"V-61"|"I-2523"|5|1991|43|"FO"|"Greek war goddess."
"M"|"M"|"Eos Chaos"|-16.8|46.9|-19.1|-16.0|42.3|51.0|"W"|490.0|"EU"|"GR"|"MC-18"|"I-2527"|5|1982|57|"CH"|"Greek name of Aurora; albedo feature."
"M"|"ME"|"Eos Chaos"|-16.62|313.1|-18.9|-15.83|317.7|309.0|"E"|490.0|"EU"|"GR"|"MC-18"|"I-2527"|5|1982|57|"CH"|"Greek name of Aurora; albedo feature."
"M"|"M"|"Eos Chasma"|-12.1|39.7|-18.5|-5.7|28.8|51.0|"W"|1,413.0|"EU"|"GR"|"MC-18"|"I-2527"|5|1973|57|"CM"|"Classical albedo feature name."
"M"|"ME"|"Eos Chasma"|-11.97|320.3|-18.31|-5.64|331.2|309.0|"E"|1,413.0|"EU"|"GR"|"MC-18"|"I-2527"|5|1973|57|"CM"|"Classical albedo feature name."
"M"|"M"|"Eos Mensa"|-11.0|42.2|-14.0|-8.5|39.7|44.0|"W"|390.0|"EU"|"LA"|"MC-19"|"I-2531"|5|2003|71|"MN"|"Classical albedo feature name."
"M"|"ME"|"Eos Mensa"|-10.88|317.8|-13.85|-8.41|320.3|316.0|"E"|390.0|"EU"|"LA"|"MC-19"|"I-2531"|5|2003|71|"MN"|"Classical albedo feature name."
"V"|"V"|"Eostre Mons"|45.1|329.1|45.1|45.1|328.9|329.3|"E"|26.0|"EU"|"TU"|"V-18"|"I-2466"|5|1991|64|"MO"|"Teutonic goddess of spring."
"J"|"io"|"Epaphus Mensa"|-52.97|239.99|-54.48|-51.3|243.05|237.05|"W"|126.2|"EU"|"GR"|"JI-04"|"Unknown"|5|1985|19|"MN"|"\"Child of touch,\" son of Io and Zeus."
"U"|"mr"|"Ephesus Regio"|-15.0|250.0|||||"E"|225.0|"AS"|"TU"|"Unknown"|"Unknown"|5|1997|85|"RE"|"Home of twins and setting for \"The Comedy of Errors.\""
"E"|"m"|"Epigenes"|67.5|-4.6|||||"E"|55.0|"EU"|"GR"|"LMP-3"|"LMP-3"|5|1935|66|"AA"|"Greek astronomer (unkn-c. 200 B.C.)."
"J"|"ga"|"Epigeus"|23.4|180.6|19.1|28.9|176.7|184.3|"W"|343.0|"AS"|"PO"|"GLOBAL"|"I-2762"|5|1997|83|"AA"|"Phoenecian god."
"E"|"m"|"Epimenides"|-40.9|-30.2|||||"E"|27.0|"EU"|"GR"|"LAC 111"|"LAC 111"|5|1935|66|"AA"|"Greek philosopher, writer (unkn-fl. 596 B.C.)."
"V"|"V"|"Epona Corona"|-28.0|208.5|0.0|0.0|0.0|0.0|"E"|225.0|"EU"|"CE"|"V-50"|"I-2477"|5|1994|1|"CR"|"Celtic horse/fertility goddess."
"H"|"H"|"Equiano"|-40.2|30.7|||||"W"|99.0|"AF"|"BE"|"H-11"|"I-1822"|5|1976|59|"AA"|"O.; Olavdah, West Africa (Benin) slave, writer (c. 1750-1797)."
"E"|"m"|"Eratosthenes"|14.5|-11.3|||||"E"|58.0|"EU"|"GR"|"LAC 58"|"LAC 58"|5|1935|66|"AA"|"Greek astronomer, geographer (c. 276-196 B.C.)."
"M"|"M"|"Erebus Montes"|36.0|175.0|29.9|41.8|169.6|179.7|"W"|785.0|"EU"|"LA"|"MC-02"|"I-2572"|5|1982|57|"MO"|"From albedo feature at 26N, 182W."
"M"|"ME"|"Erebus Montes"|35.69|185.0|29.62|41.48|190.4|180.3|"E"|785.0|"EU"|"LA"|"MC-02"|"I-2572"|5|1982|57|"MO"|"From albedo feature at 26N, 182W."
"J"|"ga"|"Erech Sulcus"|-7.3|179.2|-16.5|2.0|174.8|181.6|"W"|953.0|"AS"|"AB"|"GLOBAL"|"I-2762"|5|1985|27|"SU"|"Akkadian town that was built by Marduk."
"V"|"V"|"Ereshkigal Corona"|21.0|84.5|0.0|0.0|0.0|0.0|"E"|320.0|"AS"|"AB"|"V-22"|"I-2467"|5|1994|27|"CR"|"Mesopotamian nature/fertility goddess."
"S"|"pe"|"Erginus"|31.6|337.1|||||"W"|38.0|"EU"|"GR"|"Unknown"|"Unknown"|5|2006|177|"AA"|"Argonaut, son of Neptune, helmsman of the Argo after the death of Tiphys."
"J"|"ga"|"Erichthonius"|-15.3|175.3|-15.6|-15.0|175.0|175.6|"W"|30.5|"EU"|"GR"|"JG-08"|"I-1536"|5|1997|1|"AA"|"Possible father of Ganymede."
"M"|"M"|"Eridania"|-45.0|220.0|-45.0|-45.0|220.0|220.0|"W"|0.0|"EU"|"LA"|"MC-29"|"Unknown"|5|1958|60|"AL"|"Region on the Po River, Italy."
"M"|"ME"|"Eridania"|-44.68|140.0|-44.68|-44.68|140.0|140.0|"E"|0.0|"EU"|"LA"|"MC-29"|"Unknown"|5|1958|60|"AL"|"Region on the Po River, Italy."
"M"|"M"|"Eridania Scopulus"|-53.8|221.0|-58.2|-47.5|210.0|229.8|"W"|939.0|"EU"|"LA"|"MC-29"|"I-2367"|5|1979|57|"SC"|"Classical albedo feature name."
"M"|"ME"|"Eridania Scopulus"|-53.49|139.0|-57.91|-47.18|150.0|130.2|"E"|939.0|"EU"|"LA"|"MC-29"|"I-2367"|5|1979|57|"SC"|"Classical albedo feature name."
"V"|"V"|"Erigone Corona"|-34.5|284.0|0.0|0.0|0.0|0.0|"E"|325.0|"EU"|"GR"|"V-53"|"I-2477"|5|1997|83|"CR"|"Greek harvest goddess."
"V"|"V"|"Erika"|72.0|175.4|72.0|72.0|175.1|175.1|"E"|10.5|"EU"|"HU"|"V-04"|"I-2490"|5|1985|98|"AA"|"Hungarian, German first name."
"V"|"V"|"Erin"|-47.0|184.8|0.0|0.0|0.0|0.0|"E"|13.6|"EU"|"IR"|"V-50"|"I-2477"|5|1994|82|"AA"|"Irish first name."
"V"|"V"|"Erinna"|-78.0|309.1|0.0|0.0|0.0|0.0|"E"|33.8|"EU"|"GR"|"V-62"|"I-2523"|5|1994|99|"AA"|"Greek poet (c. 500 B.C.)."
"V"|"V"|"Eriu Fluctus"|-37.0|357.0|-35.0|-35.0|358.0|358.0|"E"|600.0|"EU"|"IR"|"V-55"|"I-2475"|5|1991|27|"FL"|"Irish earth mother."
"V"|"V"|"Erkeley"|43.9|103.3|0.0|0.0|0.0|0.0|"E"|8.0|"UR"|"AL"|"V-11"|"Unknown"|5|1997|108|"AA"|"Altai first name."
"V"|"V"|"Erkir Corona"|-16.3|233.7|0.0|0.0|0.0|0.0|"E"|275.0|"AS"|"AM"|"V-39"|"I-2477"|5|1994|83|"CR"|"Armenian earth goddess."
"J"|"ca"|"Erlik"|66.8|1.3|66.4|67.0|0.5|2.1|"W"|26.6|"UR"|"RU"|"GLOBAL"|"I-2770"|5|1979|17|"AA"|"Russian first man who became a devil."
"V"|"V"|"Ermolova"|60.3|154.4|60.2|60.2|154.2|154.2|"E"|60.9|"UR"|"RU"|"V-04"|"I-2490"|5|1985|64|"AA"|"Mariya; Russian actress (1853-1928)."
"E"|"m"|"Erro"|5.7|98.5|||||"E"|61.0|"NA"|"ME"|"LTO64D2"|"LTO-64D2"|5|1970|0|"AA"|"Luis Enrique; Mexican astronomer (1897-1955)."
"V"|"V"|"Erxleben"|-50.9|39.4|-50.9|-50.9|39.4|39.4|"E"|31.6|"EU"|"GE"|"V-56"|"I-2475"|5|1991|100|"AA"|"Dorothea; first woman Ph.D in Germany (1715-1762)."
"M"|"M"|"Erythraea Fossa"|-27.5|31.0|-27.9|-27.1|29.5|32.3|"W"|152.0|"EU"|"GR"|"MC-19"|"I-2531"|5|1976|57|"FO"|"Classical albedo feature name."
"M"|"ME"|"Erythraea Fossa"|-27.23|329.0|-27.63|-26.84|330.5|327.7|"E"|152.0|"EU"|"GR"|"MC-19"|"I-2531"|5|1976|57|"FO"|"Classical albedo feature name."
"V"|"V"|"Erzulie Mons"|-68.0|8.0|0.0|0.0|0.0|0.0|"E"|300.0|"SA"|"HA"|"V-56"|"I-2523"|5|1997|107|"MO"|"Haitian voodoo goddess of love."
"M"|"M"|"Escalante"|0.2|244.7|-0.4|0.8|244.0|245.3|"W"|79.3|"NA"|"ME"|"MC-22"|"I-2532"|5|1973|68|"AA"|"F.; Mexican astronomer (c. 1930)."
"M"|"ME"|"Escalante"|0.2|115.3|-0.4|0.79|116.0|114.7|"E"|79.3|"NA"|"ME"|"MC-22"|"I-2532"|5|1973|68|"AA"|"F.; Mexican astronomer (c. 1930)."
"E"|"m"|"Esclangon"|21.5|42.1|||||"E"|15.0|"EU"|"FR"|"LTO43C1"|"LTO-43C1"|5|1976|0|"AA"|"Ernest Benjamin; French astronomer (1876-1954)."
"V"|"V"|"Escoda"|18.2|149.5|0.0|0.0|0.0|0.0|"E"|19.6|"AS"|"PH"|"V-24"|"I-2467"|5|1994|99|"AA"|"Philipino organizer of Girl Scouts of P.I. (1898-1945)."
"M"|"M"|"Escorial"|77.0|55.4|76.8|77.1|54.6|56.3|"W"|22.7|"EU"|"SP"|"MC-01"|"I-2570"|5|1991|36|"AA"|"Town in Spain."
"M"|"ME"|"Escorial"|76.86|304.6|76.65|76.96|305.4|303.7|"E"|22.7|"EU"|"SP"|"MC-01"|"I-2570"|5|1991|36|"AA"|"Town in Spain."
"J"|"ga"|"Eshmun"|-17.4|192.1|-18.5|-16.4|191.0|193.2|"W"|96.5|"AS"|"PO"|"GLOBAL"|"I-2762"|5|1979|1|"AA"|"Phoenician; divinity of Sidon."
"M"|"M"|"Esk"|45.6|7.1|45.5|45.6|7.0|7.1|"W"|3.9|"OC"|"AU"|"CYDONI"|"I-946"|5|1976|36|"AA"|"Town in Australia."
"M"|"ME"|"Esk"|45.28|352.9|45.18|45.28|353.0|352.9|"E"|3.9|"OC"|"AU"|"CYDONI"|"I-946"|5|1976|36|"AA"|"Town in Australia."
"V"|"V"|"Esmeralda"|64.4|104.5|0.0|0.0|0.0|0.0|"E"|9.8|"EU"|"GY"|"V-03"|"Unknown"|5|1997|107|"AA"|"Gypsy first name."
"E"|"m"|"Esnault-Pelterie"|47.7|-141.4|||||"E"|79.0|"EU"|"FR"|"LOC-1"|"LOC-1"|5|1970|75|"AA"|"Robert-Albert-Charles; French rocketry engineer (1881-1957)."
"E"|"m"|"Espin"|28.1|109.1|||||"E"|75.0|"EU"|"GB"|"LOC-3"|"LOC-3"|5|1970|0|"AA"|"Thomas Henry Espinall Compton; British astronomer (1858-1934)."
"M"|"M"|"Espino"|-19.9|249.8|-20.0|-19.8|249.6|249.9|"W"|12.0|"SA"|"VE"|"MC-22"|"I-2532"|5|1991|74|"AA"|"Town in Venezuela."
"M"|"ME"|"Espino"|-19.69|110.2|-19.79|-19.59|110.4|110.1|"E"|12.0|"SA"|"VE"|"MC-22"|"I-2532"|5|1991|74|"AA"|"Town in Venezuela."
"J"|"io"|"Estan Patera"|21.61|87.71|20.41|22.78|89.3|86.14|"W"|95.0|"AS"|"SY"|"Unknown"|"Unknown"|5|2006|174|"PE"|"Hittite sun god."
"V"|"V"|"Estelle"|1.1|93.7|0.0|0.0|0.0|0.0|"E"|18.8|"EU"|"LA"|"V-23"|"I-2467"|5|1994|112|"AA"|"First name from Latin."
"V"|"V"|"Esterica"|36.8|3.6|0.0|0.0|0.0|0.0|"E"|3.6|"EU"|"RO"|"V-08"|"I-2466"|5|2003|0|"AA"|"Romanian first name."
"V"|"V"|"Esther"|19.4|21.8|0.0|0.0|0.0|0.0|"E"|17.6|"AS"|"PE"|"V-20"|"I-2466"|5|1994|82|"AA"|"First name from Persian."
"V"|"V"|"Etain Dorsa"|-45.0|199.0|0.0|0.0|0.0|0.0|"E"|1,400.0|"EU"|"IR"|"V-50"|"I-2477"|5|1997|107|"DO"|"Irish sun and horse goddess."
"J"|"ga"|"Etana"|74.7|340.5|74.2|75.2|338.7|342.4|"W"|44.5|"AS"|"AB"|"GLOBAL"|"I-2762"|5|1979|1|"AA"|"Assyro-Babylonian; asked the eagle for an herb to give him an heir."
"J"|"io"|"Ethiopia Planum"|-45.3|24.59|-47.54|-42.46|30.85|16.2|"W"|331.32|"AF"|"ET"|"JI-02"|"Unknown"|5|1985|19|"PM"|"Where Io passed by in her wanderings."
"J"|"io"|"Euboea Fluctūs"|-45.01|350.96|-46.14|-43.9|352.96|349.09|"W"|104.82|"EU"|"GR"|"JI-02"|"Unknown"|5|1985|19|"FL"|"Where Io passed by in her wanderings."
"J"|"io"|"Euboea Montes"|-48.89|338.77|-51.09|-44.46|350.44|330.68|"W"|439.94|"EU"|"GR"|"JI-02"|"Unknown"|5|1985|1|"MO"|"Where Io passed by in her wanderings."
"E"|"m"|"Euclides"|-7.4|-29.5|||||"E"|11.0|"EU"|"GR"|"LAC 76"|"LAC 76"|5|1935|66|"AA"|"Euclid; Greek mathematician (unkn-c. 300 B.C.)."
"E"|"m"|"Euctemon"|76.4|31.3|||||"E"|62.0|"EU"|"GR"|"LMP-3"|"LMP-3"|5|1935|66|"AA"|"Greek astronomer (unkn-fl. 432 B.C.)."
"V"|"V"|"Eudocia"|-59.1|202.0|0.0|0.0|0.0|0.0|"E"|27.5|"EU"|"BZ"|"V-59"|"I-2523"|5|1994|99|"AA"|"Byzantine empress (c. 401-460)."
"E"|"m"|"Eudoxus"|44.3|16.3|||||"E"|67.0|"EU"|"GR"|"LAC 26"|"LAC 26"|5|1935|66|"AA"|"Greek astronomer (c. 408-355 B.C.)."
"M"|"M"|"Eudoxus"|-44.9|147.5|-45.7|-44.0|146.3|148.5|"W"|98.0|"EU"|"GR"|"MC-24"|"I-2353"|5|1973|68|"AA"|"Greek astronomer (c. 408-355 B.C.)."
"M"|"ME"|"Eudoxus"|-44.58|212.5|-45.38|-43.68|213.7|211.5|"E"|98.0|"EU"|"GR"|"MC-24"|"I-2353"|5|1973|68|"AA"|"Greek astronomer (c. 408-355 B.C.)."
"V"|"V"|"Eugenia"|80.6|105.4|0.0|0.0|0.0|0.0|"E"|6.0|"EU"|"GR"|"V-01"|"Unknown"|5|1997|107|"AA"|"Greek first name."
"E"|"m"|"Euler"|23.3|-29.2|||||"E"|27.0|"EU"|"SZ"|"LTO40D1"|"LTO-40D1"|5|1935|66|"AA"|"Leonhard; Swiss mathematician (1707-1783). "
"S"|"te"|"Eumaeus"|23.1|51.12|21.32|24.57|49.32|52.26|"W"|30.0|"EU"|"GR"|"PRELIM"|"I-1487"|5|1982|28|"AA"|"Faithful swineherd who greets Odysseus, gave him warm cloak and guided him to palace."
"M"|"M"|"Eumenides Dorsum"|4.5|156.5|-0.1|9.3|155.2|158.0|"W"|566.0|"EU"|"GR"|"MC-08"|"I-2180"|5|1976|57|"DO"|"Classical albedo feature name."
"M"|"ME"|"Eumenides Dorsum"|4.45|203.5|-0.1|9.2|204.8|202.0|"E"|566.0|"EU"|"GR"|"MC-08"|"I-2180"|5|1976|57|"DO"|"Classical albedo feature name."
"M"|"M"|"Eunostos"|22.0|120.0|22.0|22.0|120.0|120.0|"W"|0.0|"EU"|"GR"|"Unknown"|"Unknown"|5|1958|60|"AL"|"\"Lucky journey or lucky return\"; i.e., infernal regions beyond Elysium."
"M"|"ME"|"Eunostos"|21.78|240.0|21.78|21.78|240.0|240.0|"E"|0.0|"EU"|"GR"|"Unknown"|"Unknown"|5|1958|60|"AL"|"\"Lucky journey or lucky return\"; i.e., infernal regions beyond Elysium."
"S"|"pe"|"Euphemus"|-31.3|331.1|||||"W"|23.0|"EU"|"GR"|"Unknown"|"Unknown"|5|2006|177|"AA"|"Argonaut, son of Neptune and Europa."
"J"|"eu"|"Euphemus Linea"|-11.4|45.7|-20.0|-2.6|26.9|69.8|"W"|1,250.0|"EU"|"GR"|"GLOBAL"|"I-2757"|5|2003|1|"LI"|"In Greek mythology, son of Europa and Poseidon who could walk on water."
"M"|"M"|"Euphrates"|20.0|335.0|20.0|20.0|335.0|335.0|"W"|0.0|"AS"|"HE"|"Unknown"|"Unknown"|5|1958|60|"AL"|"Biblical fourth River of Paradise."
"M"|"ME"|"Euphrates"|19.79|25.0|19.79|19.79|25.0|25.0|"E"|0.0|"AS"|"HE"|"Unknown"|"Unknown"|5|1958|60|"AL"|"Biblical fourth River of Paradise."
"M"|"M"|"Euripus Mons"|-45.1|255.0|-45.7|-44.5|253.8|256.0|"W"|91.0|"EU"|"GR"|"MC-28"|"I-2366"|5|2003|71|"MO"|"Albedo feature name."
"M"|"ME"|"Euripus Mons"|-44.78|105.0|-45.38|-44.18|106.2|104.0|"E"|91.0|"EU"|"GR"|"MC-28"|"I-2366"|5|2003|71|"MO"|"Albedo feature name."
"S"|"te"|"Eurycleia"|52.54|246.5|51.0|54.47|243.69|248.98|"W"|31.0|"EU"|"GR"|"PRELIM"|"I-1487"|5|1982|28|"AA"|"Faithful old nurse of Odysseus."
"S"|"pe"|"Eurydamas"|-61.5|281.6|||||"W"|19.0|"EU"|"GR"|"Unknown"|"Unknown"|5|2006|178|"AA"|"Argonaut, son of Ctimenus."
"A"|"er"|"Eurydice"|13.5|170.0|||||"W"|2.2|"EU"|"GR"|"Unknown"|"Unknown"|5|2003|59|"AA"|"In Greek mythology, wife of singer Orpheus, who fails to bring her from Hades."
"V"|"V"|"Eurynome Corona"|26.5|94.5|0.0|0.0|0.0|0.0|"E"|200.0|"EU"|"GR"|"V-11"|"I-2467"|5|1994|19|"CR"|"Greek mother earth goddess."
"S"|"pe"|"Eurytion"|-30.4|8.0|||||"W"|14.0|"EU"|"GR"|"Unknown"|"Unknown"|5|2006|177|"AA"|"Argonaut, son of Kenethos or Cerion."
"S"|"pe"|"Eurytus"|-39.7|177.2|||||"W"|89.0|"EU"|"GR"|"Unknown"|"Unknown"|5|2006|177|"AA"|"Argonaut, son of Mercury and Antianira."
"J"|"io"|"Euxine Mons"|26.27|126.49|21.46|30.23|129.3|122.82|"W"|286.17|"EU"|"GR"|"Unknown"|"Unknown"|5|1997|27|"MO"|"Io passed by here in her wanderings."
"V"|"V"|"Evaki Tholus"|37.6|342.2|0.0|0.0|0.0|0.0|"E"|200.0|"SA"|"BR"|"V-19"|"I-2466"|5|1997|83|"TH"|"Amazonian sleep goddess."
"V"|"V"|"Evangeline"|69.6|221.9|0.0|0.0|0.0|0.0|"E"|16.0|"EU"|"GR"|"V-05"|"I-2490"|5|1994|82|"AA"|"First name from Greek."
"E"|"m"|"Evans"|-9.5|-133.5|||||"E"|67.0|"EU"|"GB"|"LOC-4"|"LOC-4"|5|1970|0|"AA"|"Sir Arthur; British archaeologist (1851-1941)."
"E"|"m"|"Evdokimov"|34.8|-153.0|||||"E"|50.0|"UR"|"SO"|"LOC-4"|"LOC-4"|5|1970|0|"AA"|"Nikolaj N.; Soviet astronomer (1868-1940)."
"V"|"V"|"Eve Corona"|-32.0|359.8|0.0|0.0|0.0|0.0|"E"|330.0|"AS"|"HE"|"V-55"|"I-2475"|5|1994|0|"CR"|"Hebrew first name; name changed from Eve (crater)."
